Lon	Lat	x wind (m/s)	y wind (m/s)
116.900000	31.600000	-0.792948	-1.550514
116.950000	31.600000	0.171586	-0.062139
117.000000	31.600000	1.199028	0.801704
117.050000	31.600000	1.053305	-0.748877
117.100000	31.600000	-0.936326	-1.269087
117.150000	31.600000	0.497981	2.789081
117.200000	31.600000	0.727572	-0.773064
117.250000	31.600000	0.836634	-1.128330
117.300000	31.600000	-1.424470	0.717442
117.350000	31.600000	-0.777906	0.315986
117.400000	31.600000	1.406535	0.401125
117.450000	31.600000	0.929660	-1.605802
117.500000	31.600000	0.661536	2.138502
117.550000	31.600000	0.541139	-1.540877
117.600000	31.600000	-0.203143	-0.499965
116.900000	31.650000	0.383024	0.412035
116.950000	31.650000	0.405493	-0.363781
117.000000	31.650000	-0.599272	-0.589589
117.050000	31.650000	0.853541	-1.853008
117.100000	31.650000	-0.207303	0.270378
117.150000	31.650000	-0.652771	0.477227
117.200000	31.650000	-0.071320	-0.938301
117.250000	31.650000	0.161364	-0.268183
117.300000	31.650000	-0.409873	-0.711323
117.350000	31.650000	0.061445	-1.846129
117.400000	31.650000	-0.398333	-0.543548
117.450000	31.650000	-0.911899	0.652699
117.500000	31.650000	-0.734271	0.540633
117.550000	31.650000	0.975841	-0.156870
117.600000	31.650000	0.277799	0.639517
116.900000	31.700000	-0.080978	0.540870
116.950000	31.700000	-1.262565	1.110424
117.000000	31.700000	-0.989563	-1.828836
117.050000	31.700000	1.384499	-0.062727
117.100000	31.700000	0.448921	-0.363258
117.150000	31.700000	-1.020583	-3.072989
117.200000	31.700000	0.626279	-0.286685
117.250000	31.700000	-0.197343	0.405605
117.300000	31.700000	-1.419348	-0.729445
117.350000	31.700000	1.147328	0.597865
117.400000	31.700000	-1.281281	-2.203264
117.450000	31.700000	-0.571246	0.213996
117.500000	31.700000	0.942377	0.093725
117.550000	31.700000	-1.122312	0.306158
117.600000	31.700000	-1.172335	-0.960967
116.900000	31.750000	-0.653735	-1.229394
116.950000	31.750000	-0.270965	-0.899950
117.000000	31.750000	-0.285686	-0.462422
117.050000	31.750000	-0.409785	-0.503539
117.100000	31.750000	1.233297	0.610305
117.150000	31.750000	0.059072	-1.466947
117.200000	31.750000	-1.625803	-1.964752
117.250000	31.750000	2.605196	0.972375
117.300000	31.750000	0.256981	-0.974240
117.350000	31.750000	-1.146364	0.547640
117.400000	31.750000	1.565084	-1.693344
117.450000	31.750000	-0.449397	-0.084292
117.500000	31.750000	-1.991997	0.841246
117.550000	31.750000	-0.414659	1.912181
117.600000	31.750000	-0.390899	0.409182
116.900000	31.800000	-1.142428	-0.624864
116.950000	31.800000	-1.168723	0.392575
117.000000	31.800000	1.301840	-0.593642
117.050000	31.800000	0.436375	-0.504362
117.100000	31.800000	0.102108	1.196251
117.150000	31.800000	0.120283	-1.036843
117.200000	31.800000	-0.857103	-0.169874
117.250000	31.800000	-0.191668	-0.865815
117.300000	31.800000	0.180664	1.266528
117.350000	31.800000	-0.251169	-0.204570
117.400000	31.800000	-2.201522	-0.774513
117.450000	31.800000	-1.393273	-0.386235
117.500000	31.800000	0.525586	1.523269
117.550000	31.800000	1.798494	-0.116884
117.600000	31.800000	-0.320196	0.817516
116.900000	31.850000	0.490159	0.765251
